H. L. JAMES RUGS AND POSTS,H.L. JAMES,0-88740-134-1
HALF FOR YOU,MEYER AZAAD,0-87614-016-9
HAND SPINNING COTTON,OLIVE & HARRY LINDER,0-915113-02-3
HANDBOOK OF TIMESAVING TABLES FOR WEAVERS- SPINNERS & DYERS,BETTIE G. ROTH & CHRIS SCHULZ,No ISBN
HANDMADE,SEPTEMBER/OCTOBER 1983,MAGAZINE
HANDMADE,ISSUE NO. 3 1986,MAGAZINE
HANDS ON SPINNING,LEE RAVEN,0-934026-27-0
HANDS ON SPINNING,LEE RAVEN,0-934926-27-0
HANDSPINDLES,BETTE HOCHBERG,0-9600990-4-2
HANDSPINING ART & TECHINQUE,ALLEN FANNIN,0-671-61036-8
HANDSPINNERS GUIDE TO SELLING,PAULA SIMMONS,0-914718-45-2
HANDSPINNER'S HANDBOOK,BETTE HOCHBERG,0-9600990-5-0
HANDSPINNER'S WORKBOOK: FANCY YARNS,MABEL ROSS,0-9507292-5-6
HANDSPINNING - ADVANCED TECHNIQUES,MABEL ROSS,VIDEO CASSETTE
HANDWOVEN,NOVEMBER/DECEMBER 1983,MAGAZINE
HANDWOVEN,SEPTEMBER/OCTOBER 1989,MAGAZINE
HANDWOVEN,SEPTMEBER 1981,MAGAZINE
HANDWOVEN,JANUARY/FEBRUARY 1985,MAGAZINE
HANDWOVEN,MAY 1981,MAGAZINE
HANDWOVEN,MARCH/APRIL 1989,MAGAZINE
HANDWOVEN,SEPTEMBER 1982,MAGAZINE
HANDWOVEN,MARCH 1982,MAGAZINE
HANDWOVEN,JANUARY/FEBRUARY 1984,MAGAZINE
HANDWOVEN,MAY/JUNE 1994,MAGAZINE
HEARTS AND BONES,MARGARET LAWRENCE,380788799
HIDDEN IN PLAIN VIEW: A SECRET STORY OF QUILT AND THE UNDERGROUND RAILROAD,JACQUELINE L. TOBIN & RAYMOND G DOBARD- Ph.D.,0-385-49767-9
IKAT TECHNIQUE,JACKIE BATTENFIELD,0-442-20595-3
INDIGO TEXTILES - TECHNIQUE AND HISTORY,GOSTA SANDBERG,0-937274-40-2
INDIGO- MADDER & MARIGOLD - A PORTFOLIO OF COLORS FROM NATURAL DYES,TRUDY VAN STRALEN,934026866
INTERWEAVE ,VOL. VI- # 1- WINTER 1980-81,MAGAZINE
INTERWEAVE ,VOL. V- #2- SPRING 1980,MAGAZINE
IS YOUR MAMA A LLAMA?,DEBORAH GUARINO,0-590-41387-2
JAMES GRANT SCOTTISH TARTANS IN FULL COLOR,JAMES GRANT,0-486-27046-7
JEWELRY - A CREATIVE CRAFT FOR YOUR LEISURE HOURS,SUE SIMMONS,0-525-70430-2
JEWLERY - THE SMITHSONIAN ILLUSTRATED LIBRARY OF ANTIQUES,MARIE-LOUISE D'OTRANGE MASTAI,No ISBN
KNIT LIT,LINDA ROGHAAR & MOLLY WOLF,0-609-80824-9
KNIT LIT THE THIRD,LINDA ROGHAAR & MOLLY WOLF,1-4000-9760-6
KNITTER'S ISSUE 14 ,SPRING 1989,MAGAZINE
KNITTER'S ISSUE 4,SPRING/SUMMER 1986,MAGAZINE
KNITTING BAZAAR,JO SHARP,1-56158-364-2
KNITTING FOR REAL PEOPLE,FERNE GELLER CONE,0-934026-47-5
KNITTING STYLISH STITCHES - TECHNIQUES- PATTERNS & DIAGRAMS,LYRIC BOOKS LIMITED,0-7111-0082-9
KNITTING-WORK: WEB OF MANY TEXTURES,RUTH PARTINGTON,No ISBN
LAMBS OF GOD - A NOVEL,MARELE DAY,1-57322-079-5
LEARN TO SPIN - ASHFORD INSTRUCTION BOOKLET,ASHFORD,No ISBN
LEARN TO SPIN AND ASSEMBLING INSTRUCTIONS,ASHFORD,LEAFLET
LEARNING TO WARP,DEBORAH CHANDLER,1-883010-04-7
LEARNING TO WEAVE,DEBORAH CHANDLER,0-934026-15-7
MAGLIA - A NEW BOOK OF CLASSIC AND UNIQUE DESIGNS,KERRY FERGUSON,No ISBN
MARY MEIGS ATWATER RECIPE BOOK (ON CD),MARY MEIGS ATWATER WEAVERS GUILD,CD
MARY MEIGS ATWATER RECIPE BOOK (ON CD),MARY MEIGS ATWATER WEAVERS GUILD,CD
MCCALL'S NEEDLEWORK TREASURY - A LEARN & MAKE BOOK,BY THE EDITORS OF MCCALL'S NEEDLEWORK & CRAFTS MAGAZINE,No ISBN
MERINO HANDSPINNING DYEING & WORKING WITH MERINO & SUPERFINE WOOLS,MARGARET STOVE,0-934026-71-8
MONOGRAMS AND CIPHERS,A. A. TURBAYNE,0-486-22182-2
MOVING TARGET - A NOVEL,ELIZABETH LOWELL ,0-06-103107-0
NATIONAL ANGORA RABBIT BREEDERS CLUB GUIDEBOOK,AMANDA RICHARDSON & PEGGY MOSES & ALICE PANKO & LINDA LEWIS & DAVID LEWIS,No ISBN
NATIONAL AUDUBON SOCIETY FIELD GUIDE TO NORTH AMERICAN MUSHROOMS,GARH H LINCOFF,0-394-51992-2
NATIONAL GEOGRAPHIC VOL. 161 NO. 5,MAY 1982,No ISBN
NATIONAL GEOGRAPHIC VOL. 200 NO. 6,DECEMBER 2001,No ISBN
NAVAJO AND HOPI WEAVING TECHNIQUES,MARY PENDLETON,0-02-595500-4
NAVAJO HOPI DYES,BILL RIESKE,1-883736-08-0
NAVAJO TEXTILES - THE WILLIAM RANDOLPH HEARST COLLECTIONS ,NANCY J. BLOMBERG,0-8165-1078-4
NAVAJO WEAVING NAVAJO WAYS,HARRIET KOENIG & SEYMOUR H. KOENIG,0-915171-03-1
NAVAJO WEAVING TODAY,NANCY N. SCHIFFER,0-88740-319-0
NEW PATHWAYS FOR SOCK KNITTERS - BOOK ONE,CAT BORDHI,978-0-9708869-6-5
NORTH AMERICAN DYE PLANTS,ANNE BLISS,0-934026-89-0
NOTES ON DOUBLE KNITTING,BEVERLY ROYCE,0-942018-06-0
PATOLAS AND RESIST-DYED FABRICS OF INDIA,HEMA KARKARIA,0-944142-09-5
PATTERNS AND SOURCES OF NAVAJO WEAVING,BILL HARMSEN,0-9601322-2-8
PELLE'S NEW SUIT,ELSA BESKOW,863155847
PERSONAL FOOTPRINTS FOR INSOUCIANT SOCK KNITTERS,CAT BORDHI,978-0-9708869-2-7
QUICK CROCHET AFGHANS,LEISURE ARTS- LEAFLET 431,LEAFLET
RABBITS - A COMPLETE PET OWNER'S MANUAL,HELGA FRIZSCHE,0-8120-2615-2
RAISING SHEEP THE MODERN WAY,PAULA SIMMONS,0-88266-529-4
RAY MANLEY'S THE FINE ART OF NAVAJO WEAVING,STEVE GETZWILLER,931418089
REFLECTIONS OF THE WEAVER'S WORLD,ANN LANE HEDLUND,295-97231-9
RESPECT THE SPINDLE,ABBY FRANQUEMONT,978-1-59668-155-2
SAMMY'S SHAWL - A STUDY OF SPINNING & WEAVING IN THE GREASE,CAROL LEE - THE SHEEP SHED STUDIO,No ISBN
SCANDINAVIAN-STYLE FELTMAKING - A THREE-DEMENSIONAL APPROACH TO HATS- BOOTS- MITTENS AND OTHER USEFUL OBJECTS,PATRICIA SPARK,0-916658-50-3
SHADOW AND SILK,ANN MAXWELL,0-8217-7311-9
SHADOW SPINNER,SUSAN FLETCHER,0-439-13753-5
SHADOW WALK,JANE WATERHOUSE,0-380-78879-9
SHEAR SPIRIT - TEN FIBER FARMS- TWENTY PATTERNS- AND MILES OF YARN,JOAN TAPPER,978-0-307-39403-3
SHEEP IN A SHOP,NANCY SHAW,0-395-70672-6
SHUTTLE SPINDLE & DYEPOT,WINTER 1973,MAGAZINE
SHUTTLE SPINDLE & DYEPOT,SUMMER 1974,MAGAZINE
SHUTTLE SPINDLE & DYEPOT,FALL 1976,MAGAZINE
SHUTTLE SPINDLE & DYEPOT,SPRING 1975,MAGAZINE
SHUTTLE SPINDLE & DYEPOT,SPRING 1977,MAGAZINE
SHUTTLE SPINDLE & DYEPOT,WINTER 1976,MAGAZINE
SHUTTLE SPINDLE & DYEPOT,SPRING 1976,MAGAZINE
SLIPPERS! 9 STYLES TO KNIT & CROCHET FOR WOMEN AND CHILDREN,LEISURE ARTS- LEAFLET 356,LEAFLET
SOFT PEOPLE THE ART OF DOLLCRAFTING,LORETTA POMPILIO,0-89594-013-2
SOLDIER HOLLOW CLASSIC SHEEPDOG CHAMPIONSHIP,SEPTEMBER  3- 4- 5- & 6- 2004,MAGAZINE
SPIN SPAN SPUN - FACT AND FOLKLORE FOR SPINNERS & WEAVERS,BETTE HOCHBERG,0-9600990-3-4
SPINDLE SPINNING FROM NOVICE TO EXPERT,CONNIE DELANEY,0-9660952-0-0
SPINNERS - A NOVEL,DONNA JO NAPOLI & RICHARD TCHEN,0-525-46065-9
SPINNING DESIGNER YARNS,DIANE VARNEY,0-934026-29-7
SPINNING FOR SOFTNESS & SPEED,PAULA SIMMONS,0-914842-87-0
SPINNING WHEEL STORIES,LOUISA M ALCOTT,No ISBN
SPINNING WOOL - BEYOND THE BASICS,ANNE FIELD,0-908704-275
SPIN-OFF,FALL 1992,MAGAZINE
SPIN-OFF,SUMMER 1992,MAGAZINE
SPIN-OFF,SPRING 1992,MAGAZINE
SPIN-OFF,WINTER 1991,MAGAZINE
SPIN-OFF,FALL 1991,MAGAZINE
SPIN-OFF,SUMMER 1991,MAGAZINE
SPIN-OFF,SPRING 1991,MAGAZINE
SPIN-OFF,WINTER 1990,MAGAZINE
SPIN-OFF,FALL 1990,MAGAZINE
SPIN-OFF,SUMMER 1990,MAGAZINE
SPIN-OFF,SPRING 1990,MAGAZINE
SPIN-OFF,SUMMER 1989,MAGAZINE
SPIN-OFF,SPRING 1989,MAGAZINE
SPIN-OFF,SUMMER 1988,MAGAZINE
SPIN-OFF,SUMMER 2002,MAGAZINE
SPIN-OFF,SPRING 2002,MAGAZINE
SPIN-OFF,WINTER 2001,MAGAZINE
SPIN-OFF,FALL 2001,MAGAZINE
SPIN-OFF,SUMMER 2001,MAGAZINE
SPIN-OFF,SPRING 2001,MAGAZINE
SPIN-OFF,FALL 2000,MAGAZINE
SPIN-OFF,SUMMER 2000,MAGAZINE
SPIN-OFF,SPRING 2000,MAGAZINE
SPIN-OFF,WINTER 1999,MAGAZINE
SPIN-OFF,SUMMER 1999,MAGAZINE
SPIN-OFF,SPRING 1999,MAGAZINE
SPIN-OFF,FALL 1998,MAGAZINE
SPIN-OFF,SUMMER 1998,MAGAZINE
SPIN-OFF,SUMMER 1997,MAGAZINE
SPIN-OFF,SPRING 1998,MAGAZINE
SPIN-OFF,WINTER 1997,MAGAZINE
SPIN-OFF,FALL 1997,MAGAZINE
SPIN-OFF,SPRING 1997,MAGAZINE
SPIN-OFF,WINTER 1996,MAGAZINE
SPIN-OFF,FALL 1996,MAGAZINE
SPIN-OFF,SUMMER 1996,MAGAZINE
SPIN-OFF,SPRING 1996,MAGAZINE
SPIN-OFF,WINTER 1995,MAGAZINE
SPIN-OFF,FALL 1995,MAGAZINE
SPIN-OFF,SUMMER 1995,MAGAZINE
SPIN-OFF,SPRING 1995,MAGAZINE
SPIN-OFF,WINTER 1994,MAGAZINE
SPIN-OFF,FALL 1994,MAGAZINE
SPIN-OFF,SUMMER 1994,MAGAZINE
SPIN-OFF,SPRING 1994,MAGAZINE
SPIN-OFF,WINTER 1993,MAGAZINE
SPIN-OFF,FALL 1993,MAGAZINE
SPIN-OFF,SUMMER 1993,MAGAZINE
SPIN-OFF,SPRING 1993,MAGAZINE
SPIN-OFF 1997 INDEX,  ,LEAFLET
SPIN-OFF 1997 INDEX,  ,LEAFLET
SPIN-OFF 2001 INDEX,  ,LEAFLET
SPIN-OFF 2002 INDEX,  ,LEAFLET
SPIN-OFF 2003 INDEX,  ,LEAFLET
STEP BY STEP SPINNING & DYEING,EUNICE SVINICKI,0-307-42015-9
SUZY'S FIX-A-KNIT HOLES #1,SUZY HERBERT,VIDEO CASSETTE
SWEATER DESIGN IN PLAIN ENGLISH,MAGGIE RIGHETTI,0-312-05164-6
SYLVIA'S FARM - THE JOURNAL OF AN IMPROBABLE SHEPHERD, SYLVIA JORRIN,0-965-50178-7
SYNTHETIC DYES FOR NATURAL FIBERS,LINDA KNUTSON,0-934026-23-8
SYNTHETIC DYES FOR NATURAL FIBERS,LINDA KNUTSON,0-934026-23-8
TENSION AND HARMONY: THE NAVAJO RUG,STEPHEN TRIMBLE,No ISBN
TEXTILES - SEVENTH EDITION,SARA J. KADOLPH & ANNA L. LANGFORD & NORMA HOLLEN & JANE SADDLER,0-02-36161-6
TEXTILES - THIRD EDITION,NORMA HOLLEN & JANE SADDLER,No ISBN
THE ALDEN AMOS BIG BOOK OF HANDSPINNING,ALDEN AMOS,1-883010-88-8
THE ART AND CRAFT OF HANDWEAVING,LILI BLUMENAU,No ISBN
THE ART AND CRAFT OF NATURAL DYEING - TRADITIONAL RECIPES FOR MODERN USE,J. N. LILES,0-87049-670-0
THE ART OF THE LOOM - WEAVING SPINNING & DYEING ACRSS THE WORLD,ANN HECHT,0-8478-1147-6
THE ARTS OF THE NORTH AMERICAN INDIAN - NATIVE TRADITIONS IN EVOLUTION,EDWIN L. WADE,0-933920-56-3
THE ASHFORD BOOK OF DYEING,ANN MILNER,0-908912-25-0
THE BARN AT THE END OF THE WORLD - THE APPRENTICESHIP OR A QUAKER- BUDDHIST SHEPHERD,MARY ROSE O'REILLEY,1-57131-237-4
THE BLACK SHEEP - A NOVEL,HONORE DE BALZAC,0-14-044237-5
THE BOOK OF LOOMS,ERIC BROUDY,0-87451-649-8
THE CARE & FEEDING OF SPINNING WHEELS - A BUYER'S GUIDE & OWNER'S MANUAL,KAREN PAULI,0-934026-04-1
THE CRAFT OF CHAIR SEAT WEAVING,GEORGE STERNS,0-934026-56-4
THE DURANGO COLLECTION - THREE CENTURIES OF NAVAJO WEAVING,AN EXHIBIT PRESENTED BY THE UTAH MUSEUM OF NATURAL HISTORY,No ISBN
THE EMPEROR PENGUIN'S NEW CLOTHES,JANET PERLMAN ,0-590-31257-X
THE ESSENTIALS OF HANDSPINNING,MABEL ROSS,0-9507292-0-5
THE FOXFIRE BOOK 1,ELIOT WIGGINTON,0-385-07353-4
THE FOXFIRE BOOK 2,ELIOT WIGGINTON,0-385-02267-0
THE FOXFIRE BOOK 3,ELIOT WIGGINTON,0-385-02272-7
THE GOAT IN THE RUG,GERALDINE,0-689-71418-1
THE GOOD HOUSEKEEPING ILLUSTRATED BOOK OF NEEDLECRAFTS,CECELIA K TOTH,0-688-12639-1
THE GREAT AFGHAN BOOK,AMERICAN SCHOOL OF NEEDLEWORK,0-930748-19-0
THE INTENTIONAL SPINNER- A HOLITIC APPROACH TO MAKING YARN,JUDITH MACKENZIE MCCUIN,978-1-59668-080-7
THE JOY OF KNITTING,LISA R MYERS,0-7624-1060-4
THE JOY OF SPINNING,MARILYN KLUGER,0-671-24213-X
